"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","CMD_harvest","branch_number","CMD_1mon","CMD_3mon","CMD_6mon","height_1st_branch","yield_ha","root_weight_plot","vigor1_5","root_number_commercial","planted_number_plot","plant_type","height","harvest_number","root_type1_5","root_rot_number","germinated_number_plot","starch_content","root_peduncle1_3","root_shape1_6","carotenoid1_8","harvest_number_plan","germination_perc","yield_ha_v2","starch_yield_ha"
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_AGF20-C0078_66",1,66,4,11,"test"," (Operator: lizbethpino, Time: ), potential (Operator: lizbethpino, Time: )","AGF20-C0078","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,1,1,1,NA,230,NA,NA,5,NA,10,1,300,6,NA,6,10,NA,NA,NA,NA,8,100,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_AGF20-C0080_49",1,49,3,11,"test"," (Operator: lizbethpino, Time: )","AGF20-C0080","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,2,1,1,NA,135,NA,NA,3,NA,10,4,185,1,NA,1,6,NA,NA,NA,NA,8,60,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_AGF20-C0085_51",1,51,3,13,"test"," (Operator: lizbethpino, Time: )","AGF20-C0085","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,3,1,1,NA,175,NA,NA,5,NA,10,5,200,8,NA,8,10,NA,NA,NA,NA,8,100,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_AGF20-C0088_69",1,69,4,8,"test"," (Operator: lizbethpino, Time: )","AGF20-C0088","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",4,0,1,3,NA,150,2.34375,1.5,4,NA,10,1,150,6,NA,8,10,NA,NA,NA,NA,8,100,2.34375,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_AGF20-C0090_57",1,57,3,19,"test"," (Operator: lizbethpino, Time: )","AGF20-C0090","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,2,1,2,NA,160,NA,NA,5,NA,10,1,220,8,NA,8,10,NA,NA,NA,NA,8,100,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_AGF20-C0093_39",1,39,3,1,"test"," (Operator: lizbethpino, Time: )","AGF20-C0093","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,4,1,1,NA,125,12.5,8,3,NA,10,3,180,8,NA,4,10,17.53711409,NA,NA,NA,8,100,12.5,2.19213926125
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_AGF20-C0104_12",1,12,1,12,"test"," (Operator: lizbethpino, Time: )","AGF20-C0104","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,3,1,1,NA,95,3.125,2,4,NA,10,4,230,7,NA,6,8,21.83655738,NA,NA,NA,8,80,3.125,0.682392418125
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_AGF20-C0109_10",1,10,1,10,"test"," (Operator: lizbethpino, Time: )","AGF20-C0109","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,3,2,NA,240,3.90625,2.5,4,NA,10,1,240,8,NA,8,10,16.2015,NA,NA,NA,8,100,3.90625,0.63287109375
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_CR24-16_60",1,60,4,17,"check"," (Operator: lizbethpino, Time: ), shooting (Operator: lizbethpino, Time: )","CR24-16","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,1,NA,195,NA,NA,4,NA,10,1,195,6,NA,7,10,NA,NA,NA,NA,8,100,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh","98/0581,980581,Dixon,I980581,IBA980581,IITA-IBA980581,IITA-TMS-980581,TMS 98/0581,TMS-I980581","202301DMEPR_tani_rep1_IBA980581_40",1,40,3,2,"check"," (Operator: lizbethpino, Time: )","IITA-TMS-IBA980581","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,1,NA,170,NA,NA,5,NA,10,1,170,7,NA,7,10,NA,NA,NA,NA,8,100,NA,NA
